iter	Passed	Remaining
0	143	71455
1	149	37128
2	156	26009
3	163	20247
4	169	16809
5	174	14401
6	178	12603
7	184	11360
8	189	10365
9	195	9572
10	200	8906
11	205	8338
12	209	7848
13	212	7383
14	216	6991
15	219	6631
16	222	6310
17	224	6020
18	227	5762
19	230	5538
20	234	5337
21	237	5149
22	239	4977
23	243	4821
24	246	4677
25	249	4544
26	251	4413
27	255	4298
28	257	4189
29	261	4093
30	264	4003
31	267	3912
32	270	3828
33	273	3746
34	276	3672
35	279	3600
36	282	3534
37	285	3468
38	288	3407
39	291	3348
40	294	3291
41	297	3242
42	300	3192
43	303	3145
44	306	3099
45	309	3058
46	313	3018
47	316	2978
48	320	2951
49	324	2923
50	328	2888
51	331	2854
52	334	2820
53	337	2788
54	340	2755
55	343	2724
56	346	2693
57	349	2666
58	353	2639
59	355	2607
60	358	2580
61	361	2555
62	364	2530
63	367	2505
64	370	2482
65	374	2460
66	377	2438
67	380	2416
68	383	2395
69	386	2373
70	390	2357
71	393	2339
72	396	2321
73	399	2302
74	403	2284
75	406	2265
76	409	2246
77	412	2229
78	415	2213
79	418	2197
80	421	2179
81	424	2164
82	427	2148
83	430	2132
84	433	2116
85	436	2099
86	439	2085
87	442	2072
88	445	2056
89	448	2041
90	451	2027
91	454	2017
92	458	2004
93	461	1993
94	464	1980
95	467	1967
96	470	1955
97	474	1944
98	477	1932
99	480	1920
100	483	1908
101	486	1896
102	489	1885
103	492	1874
104	495	1862
105	498	1852
106	501	1841
107	504	1832
108	507	1821
109	510	1810
110	513	1800
111	516	1790
112	520	1782
113	523	1772
114	526	1762
115	529	1752
116	532	1742
117	535	1734
118	538	1725
119	541	1716
120	544	1706
121	547	1697
122	550	1688
123	553	1679
124	556	1670
125	559	1661
126	562	1652
127	565	1643
128	568	1636
129	572	1628
130	575	1621
131	578	1613
132	581	1604
133	584	1596
134	587	1588
135	590	1580
136	593	1572
137	596	1564
138	599	1557
139	602	1550
140	605	1542
141	608	1534
142	612	1527
143	615	1521
144	618	1513
145	621	1506
146	624	1498
147	626	1491
148	629	1484
149	633	1477
150	636	1471
151	639	1464
152	642	1457
153	645	1449
